Justin Robinson,6,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.2,0.3,.500,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0
Brennan Besser,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Nick Pagliuca,5,0,1.6,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0
Jabari Parker,35,35,30.7,6.7,14.3,.473,5.7,11.2,.504,1.1,3.0,.358,4.6,6.1,.748,3.0,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,1
Rodney Hood,35,33,32.9,5.5,11.8,.464,3.4,6.9,.494,2.0,4.8,.420,3.1,3.9,.807,0.8,3.1,3.9,2.1,0.7,0.3,1.5,2.6,16.1,1
Quinn Cook,35,22,29.8,3.9,9.1,.432,2.1,4.1,.507,1.9,5.0,.371,1.9,2.3,.827,0.4,1.8,2.2,4.4,1.3,0.0,1.6,1.9,11.6,1
Rasheed Sulaimon,34,17,25.6,2.9,7.2,.402,1.6,4.1,.397,1.3,3.1,.410,2.8,3.7,.768,0.5,1.9,2.4,2.4,0.8,0.0,1.1,2.2,9.9,0
Andre Dawkins,33,4,13.7,2.5,5.7,.444,0.6,1.1,.541,1.9,4.6,.421,0.9,1.1,.811,0.2,1.1,1.3,0.4,0.5,0.2,0.5,1.3,7.9,1
Amile Jefferson,35,26,22.7,2.7,4.2,.644,2.7,4.2,.644,0.0,0.0,,1.1,2.3,.494,2.9,4.0,6.9,1.0,0.7,0.6,0.7,2.7,6.5,1
Tyler Thornton,35,25,21.3,0.9,2.1,.427,0.1,0.4,.333,0.8,1.7,.450,0.5,0.6,.857,0.5,1.4,1.8,2.4,1.3,0.0,0.7,2.9,3.1,0
Matt Jones,32,4,7.3,0.5,1.6,.294,0.4,0.9,.400,0.1,0.7,.143,0.7,1.3,.561,0.3,0.5,0.8,0.2,0.3,0.0,0.1,0.8,1.8,0
Semi Ojeleye,17,0,4.7,0.4,0.8,.500,0.2,0.4,.429,0.2,0.4,.571,0.6,0.6,.909,0.4,0.5,0.9,0.1,0.2,0.2,0.3,0.4,1.6,0
Josh Hairston,30,9,9.5,0.6,1.2,.486,0.6,1.1,.500,0.0,0.0,.000,0.3,0.5,.643,0.7,0.6,1.3,0.4,0.1,0.1,0.3,2.2,1.4,1
Marshall Plumlee,30,0,8.4,0.5,1.0,.552,0.5,1.0,.552,0.0,0.0,,0.2,0.6,.353,1.2,1.0,2.2,0.3,0.2,0.6,0.3,1.0,1.3,1
Alex Murphy,5,0,6.6,0.2,1.2,.167,0.0,0.2,.000,0.2,1.0,.200,0.4,0.8,.500,0.4,0.6,1.0,0.4,0.0,0.0,0.2,0.6,1.0,0
Nick Pagliuca,3,0,1.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,0.3,0.7,.500,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0
Todd Zafirovski,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0
Seth Curry,35,35,32.3,5.6,12.1,.465,2.9,5.9,.493,2.7,6.2,.438,3.5,4.3,.809,0.6,2.0,2.5,1.5,0.9,0.2,1.2,1.7,17.5,1
